,Date,Close,Gross_Profit,ROE
1371,2016-05-10,23.355,19921,0.4
1372,2016-05-11,23.127501,19921,0.4
1373,2016-05-12,22.584999,19921,0.4
1374,2016-05-13,22.629999,19921,0.4
1375,2016-05-16,23.469999,19921,0.4
1376,2016-05-17,23.372499,19921,0.4
1377,2016-05-18,23.639999,19921,0.4
1378,2016-05-19,23.549999,19921,0.4
1379,2016-05-20,23.805,19921,0.4
1380,2016-05-23,24.1075,19921,0.4
1381,2016-05-24,24.475,19921,0.4
1382,2016-05-25,24.905001,19921,0.4
1383,2016-05-26,25.102501,19921,0.4
1384,2016-05-27,25.0875,19921,0.4
1385,2016-05-31,24.965,19921,0.4
1386,2016-06-01,24.615,19921,0.4
1387,2016-06-02,24.43,19921,0.4
1388,2016-06-03,24.48,19921,0.4
1389,2016-06-06,24.657499,19921,0.4
1390,2016-06-07,24.7575,19921,0.4
1391,2016-06-08,24.735001,19921,0.4
1392,2016-06-09,24.9125,19921,0.4
1393,2016-06-10,24.7075,19921,0.4
1394,2016-06-13,24.334999,19921,0.4
1395,2016-06-14,24.365,19921,0.4
1396,2016-06-15,24.285,19921,0.4
1397,2016-06-16,24.387501,19921,0.4
1398,2016-06-17,23.8325,19921,0.4
1399,2016-06-20,23.775,19921,0.4
1400,2016-06-21,23.977501,19921,0.4
1401,2016-06-22,23.887501,19921,0.4
1402,2016-06-23,24.025,19921,0.4
1403,2016-06-24,23.35,19921,0.4
1404,2016-06-27,23.01,19921,0.4
1405,2016-06-28,23.397499,19921,0.4
1406,2016-06-29,23.6,19921,0.4
1407,2016-06-30,23.9,16106,0.38
1408,2016-07-01,23.9725,16106,0.38
1409,2016-07-05,23.747499,16106,0.38
1410,2016-07-06,23.8825,16106,0.38
1411,2016-07-07,23.985001,16106,0.38
1412,2016-07-08,24.17,16106,0.38
1413,2016-07-11,24.245001,16106,0.38
1414,2016-07-12,24.355,16106,0.38
1415,2016-07-13,24.217501,16106,0.38
