Date,Close,Gross_Profit,ROE,ROI,PE_ratio,PS_ratio
9/9/14,24.497499,14735,0.31,,13.38,2.91
9/10/14,25.25,14735,0.31,,13.38,2.91
9/11/14,25.3575,14735,0.31,,13.38,2.91
9/12/14,25.415001,14735,0.31,,13.38,2.91
9/15/14,25.407499,14735,0.31,,13.38,2.91
9/16/14,25.215,14735,0.31,,13.38,2.91
9/17/14,25.395,14735,0.31,,13.38,2.91
9/18/14,25.4475,14735,0.31,,13.38,2.91
9/19/14,25.24,14735,0.31,,13.38,2.91
9/22/14,25.264999,14735,0.31,,13.38,2.91
9/23/14,25.66,14735,0.31,,13.38,2.91
9/24/14,25.4375,14735,0.31,,13.38,2.91
9/25/14,24.467501,14735,0.31,,13.38,2.91
9/26/14,25.1875,14735,0.31,,13.38,2.91
9/29/14,25.0275,14735,0.31,,13.38,2.91
9/30/14,25.1875,16009,0.33,,14.04,3.05
10/1/14,24.795,16009,0.33,,14.04,3.05
10/2/14,24.975,16009,0.33,,14.04,3.05
10/3/14,24.905001,16009,0.33,,14.04,3.05
10/6/14,24.905001,16009,0.33,,14.04,3.05
10/7/14,24.6875,16009,0.33,,14.04,3.05
10/8/14,25.200001,16009,0.33,,14.04,3.05
10/9/14,25.254999,16009,0.33,,14.04,3.05
10/10/14,25.182501,16009,0.33,,14.04,3.05
10/13/14,24.952499,16009,0.33,,14.04,3.05
10/14/14,24.6875,16009,0.33,,14.04,3.05
10/15/14,24.385,16009,0.33,,14.04,3.05
10/16/14,24.065001,16009,0.33,,14.04,3.05
10/17/14,24.4175,16009,0.33,,14.04,3.05
10/20/14,24.940001,16009,0.33,,14.04,3.05
10/21/14,25.6175,16009,0.33,,14.04,3.05
10/22/14,25.747499,16009,0.33,,14.04,3.05
10/23/14,26.2075,16009,0.33,,14.04,3.05
10/24/14,26.305,16009,0.33,,14.04,3.05
10/27/14,26.2775,16009,0.33,,14.04,3.05
10/28/14,26.684999,16009,0.33,,14.04,3.05
10/29/14,26.834999,16009,0.33,,14.04,3.05
10/30/14,26.745001,16009,0.33,,14.04,3.05
10/31/14,27,16009,0.33,,14.04,3.05
11/3/14,27.35,16009,0.33,,14.04,3.05
11/4/14,27.15,16009,0.33,,14.04,3.05
11/5/14,27.215,16009,0.33,,14.04,3.05
11/6/14,27.174999,16009,0.33,,14.04,3.05
11/7/14,27.252501,16009,0.33,,14.04,3.05
11/10/14,27.2075,16009,0.33,,14.04,3.05
11/11/14,27.424999,16009,0.33,,14.04,3.05
11/12/14,27.8125,16009,0.33,,14.04,3.05
11/13/14,28.205,16009,0.33,,14.04,3.05
11/14/14,28.545,16009,0.33,,14.04,3.05
11/17/14,28.497499,16009,0.33,,14.04,3.05
11/18/14,28.8675,16009,0.33,,14.04,3.05
11/19/14,28.6675,16009,0.33,,14.04,3.05
11/20/14,29.077499,16009,0.33,,14.04,3.05
11/21/14,29.1175,16009,0.33,,14.04,3.05
11/24/14,29.657499,16009,0.33,,14.04,3.05
11/25/14,29.4,16009,0.33,,14.04,3.05
11/26/14,29.75,16009,0.33,,14.04,3.05
11/28/14,29.7325,16009,0.33,,14.04,3.05
12/1/14,28.7675,16009,0.33,,14.04,3.05
12/2/14,28.657499,16009,0.33,,14.04,3.05
12/3/14,28.9825,16009,0.33,,14.04,3.05
12/4/14,28.872499,16009,0.33,,14.04,3.05
12/5/14,28.75,16009,0.33,,14.04,3.05
12/8/14,28.1,16009,0.33,,14.04,3.05
12/9/14,28.530001,16009,0.33,,14.04,3.05
12/10/14,27.987499,16009,0.33,,14.04,3.05
12/11/14,27.905001,16009,0.33,,14.04,3.05
12/12/14,27.432501,16009,0.33,,14.04,3.05
12/15/14,27.057501,16009,0.33,,14.04,3.05
12/16/14,26.6875,16009,0.33,,14.04,3.05
12/17/14,27.352501,16009,0.33,,14.04,3.05
12/18/14,28.1625,16009,0.33,,14.04,3.05
12/19/14,27.945,16009,0.33,,14.04,3.05
12/22/14,28.235001,16009,0.33,,14.04,3.05
12/23/14,28.135,16009,0.33,,14.04,3.05
12/24/14,28.002501,16009,0.33,,14.04,3.05
12/26/14,28.497499,16009,0.33,,14.04,3.05
12/29/14,28.477501,16009,0.33,,14.04,3.05
12/30/14,28.129999,16009,0.33,,14.04,3.05
12/31/14,27.594999,29741,0.37,,13.39,3
1/2/15,27.3325,29741,0.37,,13.39,3
1/5/15,26.5625,29741,0.37,,13.39,3
1/6/15,26.565001,29741,0.37,,13.39,3
1/7/15,26.9375,29741,0.37,,13.39,3
1/8/15,27.9725,29741,0.37,,13.39,3
1/9/15,28.002501,29741,0.37,,13.39,3
1/12/15,27.3125,29741,0.37,,13.39,3
1/13/15,27.555,29741,0.37,,13.39,3
1/14/15,27.450001,29741,0.37,,13.39,3
1/15/15,26.705,29741,0.37,,13.39,3
1/16/15,26.497499,29741,0.37,,13.39,3
