,Date,Close,tnote,tbill,Fed_rate,GDP,GDP_growth,CPI
2515,2020-11-23,113.849998,0.86,0.1,0.08,21704.706,-3.4045897,260.721
2516,2020-11-24,115.169998,0.88,0.11,0.08,21704.706,-3.4045897,260.721
2517,2020-11-25,116.029999,0.88,0.11,0.08,21704.706,-3.4045897,260.721
2518,2020-11-27,116.589996,0.84,0.11,0.08,21704.706,-3.4045897,260.721
2519,2020-11-30,119.050003,0.84,0.11,0.09,21704.706,-3.4045897,260.721
2520,2020-12-01,122.720001,0.92,0.12,0.09,21704.706,-3.4045897,261.564
2521,2020-12-02,123.080002,0.95,0.11,0.09,21704.706,-3.4045897,261.564
2522,2020-12-03,122.940002,0.92,0.1,0.09,21704.706,-3.4045897,261.564
2523,2020-12-04,122.25,0.97,0.11,0.09,21704.706,-3.4045897,261.564
2524,2020-12-07,123.75,0.94,0.1,0.09,21704.706,-3.4045897,261.564
2525,2020-12-08,124.379997,0.92,0.1,0.09,21704.706,-3.4045897,261.564
2526,2020-12-09,121.779999,0.95,0.1,0.09,21704.706,-3.4045897,261.564
2527,2020-12-10,123.239998,0.92,0.1,0.09,21704.706,-3.4045897,261.564
2528,2020-12-11,122.410004,0.9,0.1,0.09,21704.706,-3.4045897,261.564
2529,2020-12-14,121.779999,0.9,0.1,0.09,21704.706,-3.4045897,261.564
2530,2020-12-15,127.879997,0.92,0.09,0.09,21704.706,-3.4045897,261.564
2531,2020-12-16,127.809998,0.92,0.09,0.09,21704.706,-3.4045897,261.564
2532,2020-12-17,128.699997,0.94,0.09,0.09,21704.706,-3.4045897,261.564
2533,2020-12-18,126.660004,0.95,0.09,0.09,21704.706,-3.4045897,261.564
2534,2020-12-21,128.229996,0.95,0.09,0.09,21704.706,-3.4045897,261.564
2535,2020-12-22,131.880005,0.93,0.09,0.09,21704.706,-3.4045897,261.564
2536,2020-12-23,130.960007,0.96,0.09,0.09,21704.706,-3.4045897,261.564
2537,2020-12-24,131.970001,0.94,0.1,0.09,21704.706,-3.4045897,261.564
2538,2020-12-28,136.690002,0.94,0.11,0.09,21704.706,-3.4045897,261.564
2539,2020-12-29,134.869995,0.94,0.11,0.09,21704.706,-3.4045897,261.564
2540,2020-12-30,133.720001,0.93,0.12,0.09,21704.706,-3.4045897,261.564
2541,2020-12-31,132.690002,0.93,0.1,0.09,21704.706,-3.4045897,261.564
2542,2021-01-04,129.410004,0.93,0.1,0.09,22313.85,5.67110719,262.2
2543,2021-01-05,131.009995,0.96,0.1,0.09,22313.85,5.67110719,262.2
2544,2021-01-06,126.599998,1.04,0.11,0.09,22313.85,5.67110719,262.2
2545,2021-01-07,130.919998,1.08,0.11,0.09,22313.85,5.67110719,262.2
2546,2021-01-08,132.050003,1.13,0.1,0.09,22313.85,5.67110719,262.2
2547,2021-01-11,128.979996,1.15,0.1,0.09,22313.85,5.67110719,262.2
2548,2021-01-12,128.800003,1.15,0.11,0.09,22313.85,5.67110719,262.2
2549,2021-01-13,130.889999,1.1,0.12,0.09,22313.85,5.67110719,262.2
2550,2021-01-14,128.910004,1.15,0.1,0.09,22313.85,5.67110719,262.2
2551,2021-01-15,127.139999,1.11,0.1,0.09,22313.85,5.67110719,262.2
2552,2021-01-19,127.830002,1.1,0.1,0.09,22313.85,5.67110719,262.2
2553,2021-01-20,132.029999,1.1,0.1,0.09,22313.85,5.67110719,262.2
2554,2021-01-21,136.869995,1.12,0.1,0.08,22313.85,5.67110719,262.2
2555,2021-01-22,139.070007,1.1,0.1,0.08,22313.85,5.67110719,262.2
2556,2021-01-25,142.919998,1.05,0.1,0.08,22313.85,5.67110719,262.2
2557,2021-01-26,143.160004,1.05,0.09,0.08,22313.85,5.67110719,262.2
2558,2021-01-27,142.059998,1.04,0.09,0.08,22313.85,5.67110719,262.2
2559,2021-01-28,137.089996,1.07,0.08,0.07,22313.85,5.67110719,262.2
2560,2021-01-29,131.960007,1.11,0.1,0.07,22313.85,5.67110719,262.2
2561,2021-02-01,134.139999,1.09,0.08,0.08,22313.85,5.67110719,263.346
2562,2021-02-02,134.990005,1.12,0.08,0.08,22313.85,5.67110719,263.346
2563,2021-02-03,133.940002,1.15,0.08,0.08,22313.85,5.67110719,263.346
2564,2021-02-04,137.389999,1.15,0.07,0.08,22313.85,5.67110719,263.346
2565,2021-02-05,136.759995,1.19,0.06,0.08,22313.85,5.67110719,263.346
2566,2021-02-08,136.910004,1.19,0.07,0.07,22313.85,5.67110719,263.346
2567,2021-02-09,136.009995,1.18,0.07,0.08,22313.85,5.67110719,263.346
2568,2021-02-10,135.389999,1.15,0.07,0.08,22313.85,5.67110719,263.346
2569,2021-02-11,135.130005,1.16,0.07,0.08,22313.85,5.67110719,263.346
2570,2021-02-12,135.369995,1.2,0.06,0.08,22313.85,5.67110719,263.346
2571,2021-02-16,133.190002,1.3,0.08,0.08,22313.85,5.67110719,263.346
2572,2021-02-17,130.839996,1.29,0.07,0.08,22313.85,5.67110719,263.346
2573,2021-02-18,129.710007,1.29,0.06,0.07,22313.85,5.67110719,263.346
