Date, Dow_Jones
9/20/11,11408.66
9/21/11,11124.84
9/22/11,10733.83
9/23/11,10771.48
9/26/11,11043.86
9/27/11,11190.69
9/28/11,11010.9
9/29/11,11153.98
9/30/11,10913.38
10/3/11,10655.3
10/4/11,10808.71
10/5/11,10939.95
10/6/11,11123.33
10/7/11,11103.12
10/10/11,11433.18
10/11/11,11416.3
10/12/11,11518.85
10/13/11,11478.13
10/14/11,11644.49
10/17/11,11397
10/18/11,11577.05
10/19/11,11504.62
10/20/11,11541.78
10/21/11,11808.79
10/24/11,11913.62
10/25/11,11706.62
10/26/11,11869.04
10/27/11,12208.55
10/28/11,12231.11
10/31/11,11955.01
11/1/11,11657.96
11/2/11,11836.04
11/3/11,12044.47
11/4/11,11983.24
11/7/11,12068.39
11/8/11,12170.18
11/9/11,11780.94
11/10/11,11893.86
11/11/11,12153.68
11/14/11,12078.98
11/15/11,12096.16
11/16/11,11905.59
11/17/11,11770.73
11/18/11,11796.16
11/21/11,11547.31
11/22/11,11493.72
11/23/11,11257.55
11/25/11,11231.65
11/28/11,11523.01
11/29/11,11555.63
11/30/11,12045.68
12/1/11,12020.03
12/2/11,12019.42
12/5/11,12097.83
12/6/11,12150.13
12/7/11,12196.37
12/8/11,11997.7
12/9/11,12184.26
12/12/11,12021.39
12/13/11,11954.94
12/14/11,11823.48
12/15/11,11868.81
12/16/11,11866.39
12/19/11,11766.26
12/20/11,12103.58
12/21/11,12107.74
12/22/11,12169.65
12/23/11,12294
12/27/11,12291.35
12/28/11,12151.41
12/29/11,12287.04
12/30/11,12217.56
1/3/12,12397.38
1/4/12,12418.42
1/5/12,12415.7
1/6/12,12359.92
1/9/12,12392.69
1/10/12,12462.47
1/11/12,12449.45
1/12/12,12471.02
1/13/12,12422.06
1/17/12,12482.07
1/18/12,12578.95
1/19/12,12623.98
1/20/12,12720.48
1/23/12,12708.82
1/24/12,12675.75
1/25/12,12758.85
1/26/12,12734.63
1/27/12,12660.46
1/30/12,12653.72
1/31/12,12632.91
2/1/12,12716.46
2/2/12,12705.41
2/3/12,12862.23
2/6/12,12845.13
2/7/12,12878.2
2/8/12,12883.95
2/9/12,12890.46
2/10/12,12801.23
2/13/12,12874.04
2/14/12,12878.28
2/15/12,12780.95
2/16/12,12904.08
2/17/12,12949.87
2/21/12,12965.69
2/22/12,12938.67
2/23/12,12984.69
2/24/12,12982.95
2/27/12,12981.51
2/28/12,13005.12
2/29/12,12952.07
3/1/12,12980.3
3/2/12,12977.57
3/5/12,12962.81
3/6/12,12759.15
3/7/12,12837.33
3/8/12,12907.94
3/9/12,12922.02
3/12/12,12959.71
3/13/12,13177.68
3/14/12,13194.1
3/15/12,13252.76
3/16/12,13232.62
3/19/12,13239.13
3/20/12,13170.19
3/21/12,13124.62
3/22/12,13046.14
3/23/12,13080.73
3/26/12,13241.63
3/27/12,13197.73
3/28/12,13126.21
3/29/12,13145.82
3/30/12,13212.04
4/2/12,13264.49
4/3/12,13199.55
4/4/12,13074.75
4/5/12,13060.14
4/9/12,12929.59
4/10/12,12715.93
4/11/12,12805.39
4/12/12,12986.58
4/13/12,12849.59
4/16/12,12921.41
4/17/12,13115.54
4/18/12,13032.75
4/19/12,12964.1
4/20/12,13029.26
4/23/12,12927.17
4/24/12,13001.56
4/25/12,13090.72
4/26/12,13204.62
4/27/12,13228.31
4/30/12,13213.63
5/1/12,13279.32
5/2/12,13268.57
5/3/12,13206.59
5/4/12,13038.27
5/7/12,13008.53
5/8/12,12932.09
5/9/12,12835.06
5/10/12,12855.04
5/11/12,12820.6
5/14/12,12695.35
5/15/12,12632
5/16/12,12598.55
5/17/12,12442.49
5/18/12,12369.38
5/21/12,12504.48
5/22/12,12502.81
5/23/12,12496.15
5/24/12,12529.75
5/25/12,12454.83
5/29/12,12580.69
5/30/12,12419.86
5/31/12,12393.45
6/1/12,12118.57
6/4/12,12101.46
6/5/12,12127.95
6/6/12,12414.79
6/7/12,12460.96
6/8/12,12554.2
6/11/12,12411.23
6/12/12,12573.8
6/13/12,12496.38
6/14/12,12651.91
6/15/12,12767.17
6/18/12,12741.82
6/19/12,12837.33
6/20/12,12824.39
6/21/12,12573.57
6/22/12,12640.78
6/25/12,12502.66
6/26/12,12534.67
6/27/12,12627.01
6/28/12,12602.26
6/29/12,12880.09
7/2/12,12871.39
7/3/12,12943.66
7/5/12,12896.67
7/6/12,12772.47
7/9/12,12736.29
7/10/12,12653.12
7/11/12,12604.53
7/12/12,12573.27
7/13/12,12777.09
7/16/12,12727.21
7/17/12,12805.54
7/18/12,12908.7
7/19/12,12943.36
7/20/12,12822.57
7/23/12,12721.46
7/24/12,12617.32
7/25/12,12676.05
7/26/12,12887.93
7/27/12,13075.66
7/30/12,13073.01
7/31/12,13008.68
8/1/12,12976.13
8/2/12,12878.88
8/3/12,13096.17
8/6/12,13117.51
8/7/12,13168.6
8/8/12,13175.64
8/9/12,13165.19
8/10/12,13207.95
8/13/12,13169.43
8/14/12,13172.14
8/15/12,13164.78
8/16/12,13250.11
8/17/12,13275.2
8/20/12,13271.64
8/21/12,13203.58
8/22/12,13172.76
8/23/12,13057.46
8/24/12,13157.97
8/27/12,13124.67
8/28/12,13102.99
8/29/12,13107.48
8/30/12,13000.71
8/31/12,13090.84
9/4/12,13035.94
9/5/12,13047.48
9/6/12,13292
9/7/12,13306.64
9/10/12,13254.29
9/11/12,13323.36
9/12/12,13333.35
9/13/12,13539.86
9/14/12,13593.37
9/17/12,13553.1
9/18/12,13564.64
9/19/12,13577.96
9/20/12,13596.93
9/21/12,13579.47
9/24/12,13558.92
9/25/12,13457.55
9/26/12,13413.51
9/27/12,13485.97
9/28/12,13437.13
10/1/12,13515.11
10/2/12,13482.36
10/3/12,13494.61
10/4/12,13575.36
10/5/12,13610.15
10/8/12,13583.65
10/9/12,13473.53
10/10/12,13344.97
10/11/12,13326.39
10/12/12,13328.85
10/15/12,13424.23
10/16/12,13551.78
10/17/12,13557
10/18/12,13548.94
10/19/12,13343.51
10/22/12,13345.89
10/23/12,13102.53
10/24/12,13077.34
10/25/12,13103.68
10/26/12,13107.21
10/29/12,13107.21
10/30/12,13107.21
10/31/12,13096.46
11/1/12,13232.62
11/2/12,13093.16
11/5/12,13112.44
11/6/12,13245.68
11/7/12,12932.73
11/8/12,12811.32
11/9/12,12815.39
11/12/12,12815.08
11/13/12,12756.18
11/14/12,12570.95
11/15/12,12542.38
11/16/12,12588.31
11/19/12,12795.96
11/20/12,12788.51
11/21/12,12836.89
11/23/12,13009.53
11/26/12,12967.37
11/27/12,12878.13
11/28/12,12985.11
11/29/12,13021.82
11/30/12,13025.58
12/3/12,12965.6
12/4/12,12951.78
12/5/12,13034.49
12/6/12,13074.04
12/7/12,13155.13
12/10/12,13169.88
12/11/12,13248.44
12/12/12,13245.45
12/13/12,13170.72
12/14/12,13135.01
12/17/12,13235.39
12/18/12,13350.96
12/19/12,13251.97
12/20/12,13311.72
12/21/12,13190.84
12/24/12,13138.93
12/26/12,13114.59
12/27/12,13096.31
12/28/12,12938.11
12/31/12,13104.14
1/2/13,13412.55
1/3/13,13391.36
1/4/13,13435.21
1/7/13,13384.29
1/8/13,13328.85
1/9/13,13390.51
1/10/13,13471.22
1/11/13,13488.43
1/14/13,13507.32
1/15/13,13534.89
1/16/13,13511.23
1/17/13,13596.02
1/18/13,13649.7
1/22/13,13712.21
1/23/13,13779.33
1/24/13,13825.33
1/25/13,13895.98
1/28/13,13881.93
1/29/13,13954.42
1/30/13,13910.42
1/31/13,13860.58
2/1/13,14009.79
2/4/13,13880.08
2/5/13,13979.3
2/6/13,13986.52
2/7/13,13944.05
2/8/13,13992.97
2/11/13,13971.24
2/12/13,14018.7
2/13/13,13982.91
2/14/13,13973.39
2/15/13,13981.76
2/19/13,14035.67
2/20/13,13927.54
2/21/13,13880.62
2/22/13,14000.57
2/25/13,13784.17
2/26/13,13900.13
2/27/13,14075.37
2/28/13,14054.49
3/1/13,14089.66
3/4/13,14127.82
3/5/13,14253.77
3/6/13,14296.24
3/7/13,14329.49
3/8/13,14397.07
3/11/13,14447.29
3/12/13,14450.06
3/13/13,14455.28
3/14/13,14539.14
3/15/13,14514.11
3/18/13,14452.06
3/19/13,14455.82
3/20/13,14511.73
3/21/13,14421.49
3/22/13,14512.03
3/25/13,14447.75
3/26/13,14559.65
3/27/13,14526.16
3/28/13,14578.54
4/1/13,14572.85
4/2/13,14662.01
4/3/13,14550.35
4/4/13,14606.11
4/5/13,14565.25
4/8/13,14613.48
4/9/13,14673.46
4/10/13,14802.24
4/11/13,14865.14
4/12/13,14865.06
4/15/13,14599.2
4/16/13,14756.78
4/17/13,14618.59
4/18/13,14537.14
4/19/13,14547.51
4/22/13,14567.17
4/23/13,14719.46
4/24/13,14676.3
4/25/13,14700.8
4/26/13,14712.55
4/29/13,14818.75
4/30/13,14839.8
5/1/13,14700.95
5/2/13,14831.58
5/3/13,14973.96
5/6/13,14968.89
5/7/13,15056.2
5/8/13,15105.12
5/9/13,15082.62
5/10/13,15118.49
5/13/13,15091.68
5/14/13,15215.25
5/15/13,15275.69
5/16/13,15233.22
5/17/13,15354.4
5/20/13,15335.28
5/21/13,15387.58
5/22/13,15307.17
5/23/13,15294.5
5/24/13,15303.1
5/28/13,15409.39
5/29/13,15302.8
5/30/13,15324.53
5/31/13,15115.57
6/3/13,15254.03
6/4/13,15177.54
6/5/13,14960.59
6/6/13,15040.62
6/7/13,15248.12
6/10/13,15238.59
6/11/13,15122.02
6/12/13,14995.23
6/13/13,15176.08
6/14/13,15070.18
6/17/13,15179.85
6/18/13,15318.23
6/19/13,15112.19
6/20/13,14758.32
6/21/13,14799.4
6/24/13,14659.56
6/25/13,14760.31
6/26/13,14910.14
6/27/13,15024.49
6/28/13,14909.6
7/1/13,14974.96
7/2/13,14932.41
7/3/13,14988.37
7/5/13,15135.84
7/8/13,15224.69
7/9/13,15300.34
